# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
0 9.17405 9.4581 9.09431 27.7265
5 8.95862 9.23329 8.93088 27.1228
10 8.38169 8.62305 8.40545 25.4102
15 7.47616 7.66524 7.55032 22.6917
20 6.29336 6.4179 6.41521 19.1265
25 4.8988 4.95399 5.06262 14.9154
30 3.3679 3.35507 3.56394 10.2869
35 1.78086 1.70563 1.99549 5.48198
40 0.216538 0.0874784 0.434252 0.738268
45 -1.25229 -1.42462 -1.04616 -3.72307
50 -2.56207 -2.76595 -2.3798 -7.70782
55 -3.66133 -3.88436 -3.51177 -11.0575
60 -4.51357 -4.74323 -4.40201 -13.6588
65 -5.09873 -5.32289 -5.02781 -15.4494
70 -5.41376 -5.62085 -5.38379 -16.4184
75 -5.47169 -5.65072 -5.48066 -16.6031
80 -5.29962 -5.43971 -5.34276 -16.0821
85 -4.93579 -5.02586 -5.00555 -14.9672
90 -4.42609 -4.45548 -4.51247 -13.394
95 -3.81964 -3.77934 -3.91081 -11.5098
100 -3.16412 -3.04925 -3.24814 -9.46151
105 -2.50258 -2.3155 -2.5692 -7.38728
110 -1.87161 -1.62365 -1.91379 -5.40906
115 -1.30051 -1.01111 -1.31504 -3.62666
120 -0.810586 -0.504724 -0.797677 -2.11299
125 -0.415119 -0.1195 -0.376902 -0.911521
130 -0.119021 0.141279 -0.0590674 -0.0368101
135 0.0808941 0.285491 0.157868 0.524253
140 0.195183 0.3299 0.28365 0.808734
145 0.240578 0.297979 0.334495 0.873052
150 0.238149 0.217836 0.331172 0.787157
155 0.211036 0.119437 0.297099 0.627572
160 0.181991 0.0314916 0.256143 0.469626
165 0.171289 -0.0217482 0.230063 0.379604
170 0.194929 -0.0227372 0.236339 0.408531
175 0.263392 0.0381399 0.287026 0.588558
180 0.38058 0.162329 0.387708 0.930618
185 0.54379 0.344128 0.537176 1.42509
190 0.74394 0.571874 0.727736 2.04355
195 0.96596 0.82959 0.946414 2.74196
200 1.19071 1.09796 1.17615 3.46482
205 1.39726 1.35563 1.39689 4.14979
210 1.56511 1.58067 1.58737 4.73315
215 1.67606 1.75224 1.72704 5.15534
220 1.71591 1.85234 1.79859 5.36684
225 1.67573 1.86765 1.78964 5.33302
230 1.5531 1.79084 1.69392 5.03786
235 1.35203 1.62161 1.51217 4.48581
240 1.08195 1.36659 1.25204 3.70058
245 0.756969 1.03849 0.927083 2.72254
250 0.394015 0.655292 0.555334 1.60464
255 0.0118834 0.239025 0.15782 0.408729
260 -0.368972 -0.185209 -0.243388 -0.79757
265 -0.727826 -0.591187 -0.626462 -1.94548
270 -1.04505 -0.954296 -0.970959 -2.9703
275 -1.30291 -1.2534 -1.25911 -3.81542
280 -1.48721 -1.47221 -1.47666 -4.43608
285 -1.58871 -1.6007 -1.61355 -4.80297
290 -1.60415 -1.63558 -1.66455 -4.90428
295 -1.53586 -1.58002 -1.62987 -4.74575
300 -1.39119 -1.44315 -1.51518 -4.34952
305 -1.18137 -1.23882 -1.3305 -3.75069
310 -0.921247 -0.984122 -1.08936 -2.99473
315 -0.628705 -0.698365 -0.808128 -2.1352
320 -0.32353 -0.401759 -0.505238 -1.23053
325 -0.0258418 -0.114151 -0.200321 -0.340314
330 0.244999 0.146544 0.0875505 0.479093
335 0.471951 0.36606 0.341065 1.17908
340 0.641626 0.53426 0.545939 1.72182
345 0.745167 0.644952 0.692069 2.08219
350 0.77899 0.695998 0.774142 2.24913
355 0.745203 0.689407 0.791254 2.22586
360 0.651494 0.630602 0.746344 2.02844
365 0.510703 0.527928 0.64631 1.68494
370 0.339532 0.391786 0.501752 1.23307
375 0.156048 0.233613 0.326751 0.716412
380 -0.0217846 0.065639 0.138071 0.181926
385 -0.177959 -0.0993593 -0.0464314 -0.32375
390 -0.300197 -0.248971 -0.209957 -0.759125
395 -0.380352 -0.371967 -0.338237 -1.09056
400 -0.414471 -0.459242 -0.421198 -1.29491
405 -0.402885 -0.504431 -0.453759 -1.36107
410 -0.349995 -0.504075 -0.436038 -1.29011
415 -0.263598 -0.457897 -0.37242 -1.09392
420 -0.153014 -0.369404 -0.270453 -0.792871
425 -0.0280716 -0.245756 -0.140494 -0.414322
430 0.101432 -0.0967243 0.00515599 0.00986374
435 0.226241 0.0657218 0.153728 0.445691
440 0.337972 0.228483 0.29321 0.859665
445 0.429465 0.379191 0.413196 1.22185
450 0.494943 0.507033 0.505229 1.50721
455 0.530347 0.603473 0.562891 1.69671
460 0.533974 0.662879 0.582352 1.7792
465 0.506706 0.682375 0.562687 1.75177
470 0.451552 0.661527 0.505532 1.61861
475 0.373127 0.602353 0.415047 1.39053
480 0.277313 0.509742 0.297734 1.08479
485 0.17103 0.391135 0.162177 0.724343
490 0.0620014 0.255827 0.0180417 0.335871
495 -0.0421647 0.114196 -0.125662 -0.0536306
500 -0.134595 -0.0235305 -0.260931 -0.419056
505 -0.20944 -0.148061 -0.380542 -0.738043
510 -0.262262 -0.251036 -0.478142 -0.99144
515 -0.290661 -0.325548 -0.548503 -1.16471
520 -0.294388 -0.366709 -0.587859 -1.24896
525 -0.275295 -0.372442 -0.594816 -1.24255
530 -0.237121 -0.344084 -0.570594 -1.1518
535 -0.184906 -0.286041 -0.518536 -0.989483
540 -0.124236 -0.204987 -0.443264 -0.772486
545 -0.0609467 -0.109297 -0.350041 -0.520285
550 -0.000691847 -0.00798283 -0.244623 -0.253297
555 0.0510985 0.0892744 -0.133075 0.00729788
560 0.0895554 0.172359 -0.0215099 0.240404
565 0.110878 0.231951 0.0839031 0.426733
570 0.113063 0.260638 0.177414 0.551115
575 0.0964164 0.253823 0.254046 0.604286
580 0.0636068 0.210806 0.309513 0.583925
585 0.0194253 0.134806 0.340707 0.494939
590 -0.0306198 0.032388 0.346394 0.348162
595 -0.0812355 -0.0874989 0.327168 0.158434
600 -0.127914 -0.214801 0.285636 -0.0570791
605 -0.167301 -0.339584 0.22641 -0.280476
610 -0.197132 -0.452689 0.15563 -0.494192
615 -0.215668 -0.546238 0.080395 -0.681511
620 -0.221452 -0.614062 0.00775063 -0.827764
625 -0.213517 -0.651853 -0.0561504 -0.921521
630 -0.191448 -0.657382 -0.106192 -0.955022
635 -0.155738 -0.630029 -0.138623 -0.92439
640 -0.108229 -0.570887 -0.151691 -0.830807
645 -0.0517639 -0.482918 -0.1451 -0.679782
650 0.0098738 -0.370798 -0.11985 -0.480774
655 0.0724877 -0.240684 -0.0779574 -0.246153
660 0.1326 -0.0995409 -0.0221099 0.0109492
665 0.187566 0.0454379 0.0435427 0.276546
670 0.235208 0.1872 0.114008 0.536416
675 0.27374 0.3192 0.183785 0.776726
680 0.301471 0.435781 0.247089 0.984341
685 0.316859 0.53256 0.29839 1.14781
690 0.318669 0.606292 0.333041 1.258
695 0.306532 0.654676 0.347942 1.30915
700 0.280926 0.676085 0.341425 1.29844
705 0.243305 0.669846 0.313014 1.22616
710 0.195701 0.636402 0.263404 1.09551
715 0.140531 0.57764 0.194799 0.91297
720 0.0804387 0.496813 0.110814 0.688066
725 0.0182315 0.398162 0.0157235 0.432117
730 -0.0433722 0.287004 -0.0855049 0.158127
735 -0.101911 0.169489 -0.187455 -0.119877
740 -0.155336 0.0517254 -0.284824 -0.388434
745 -0.201813 -0.0606097 -0.373026 -0.635448
750 -0.239587 -0.16251 -0.448466 -0.850564
755 -0.266918 -0.249977 -0.508892 -1.02579
760 -0.282877 -0.319942 -0.553213 -1.15603
765 -0.287788 -0.370272 -0.580657 -1.23872
770 -0.282517 -0.399609 -0.590879 -1.273
775 -0.267961 -0.408273 -0.583929 -1.26016
780 -0.244978 -0.398459 -0.560181 -1.20362
785 -0.213992 -0.373386 -0.519981 -1.10736
790 -0.174451 -0.336896 -0.463305 -0.974652
795 -0.12508 -0.292853 -0.390402 -0.808335
800 -0.0653717 -0.244268 -0.3025 -0.61214
805 0.00385476 -0.193045 -0.202198 -0.391388
810 0.0801245 -0.140288 -0.0929975 -0.153161
815 0.159366 -0.0867949 0.0214225 0.0939939
