.10 Energy initial, next-to-last, final = 1.999998e+12 0 1.999998e+12
.20 Energy initial, next-to-last, final = 488250000 0 488250000
.30 Energy initial, next-to-last, final = 3760609.36209 0 3760609.36209
.40 Energy initial, next-to-last, final = 118721.008301 0 118721.008301
.50 Energy initial, next-to-last, final = 8064 0 8064
.60 Energy initial, next-to-last, final = 875.92037498 0 875.92037498
.70 Energy initial, next-to-last, final = 127.495512113 0 127.495512113
.80 Energy initial, next-to-last, final = 21.4744359255 0 21.4744359255
.90 Energy initial, next-to-last, final = 3.31805947663 0 3.31805947663
1.00 Energy initial, next-to-last, final = 0 0 0
1.10 Energy initial, next-to-last, final = -0.491686224687 0 -0.491686224687
1.20 Energy initial, next-to-last, final = -0.445482643792 0 -0.445482643792
1.30 Energy initial, next-to-last, final = -0.32850845723 0 -0.32850845723
1.40 Energy initial, next-to-last, final = -0.230343461103 0 -0.230343461103
1.50 Energy initial, next-to-last, final = -0.160168297139 0 -0.160168297139
1.60 Energy initial, next-to-last, final = -0.112103862193 0 -0.112103862193
1.70 Energy initial, next-to-last, final = -0.0794256295812 0 -0.0794256295812
1.80 Energy initial, next-to-last, final = -0.0570735277933 0 -0.0570735277933
1.90 Energy initial, next-to-last, final = -0.0416080699618 0 -0.0416080699618
2.00 Energy initial, next-to-last, final = -0.03076171875 0 -0.03076171875
2.10 Energy initial, next-to-last, final = -0.0230473378743 0 -0.0230473378743
2.20 Energy initial, next-to-last, final = -0.0174842288602 0 -0.0174842288602
2.30 Energy initial, next-to-last, final = -0.0134189741153 0 -0.0134189741153
2.40 Energy initial, next-to-last, final = -0.0104107977797 0 -0.0104107977797
2.50 Energy initial, next-to-last, final = -0.008158445568 0 -0.008158445568
2.60 Energy initial, next-to-last, final = -0.00645329859555 0 -0.00645329859555
2.70 Energy initial, next-to-last, final = -0.00514902465682 0 -0.00514902465682
2.80 Energy initial, next-to-last, final = -0.00414170955773 0 -0.00414170955773
2.90 Energy initial, next-to-last, final = -0.00335669027518 0 -0.00335669027518
3.00 Energy initial, next-to-last, final = -0.00273972087212 0 -0.00273972087212
.10 Energy initial, next-to-last, final = 1.999998e+12 0 1.999998e+12
.20 Energy initial, next-to-last, final = 488250000 0 488250000
.30 Energy initial, next-to-last, final = 3760609.36209 0 3760609.36209
.40 Energy initial, next-to-last, final = 118721.008301 0 118721.008301
.50 Energy initial, next-to-last, final = 8064 0 8064
.60 Energy initial, next-to-last, final = 875.92037498 0 875.92037498
.70 Energy initial, next-to-last, final = 127.495512113 0 127.495512113
.80 Energy initial, next-to-last, final = 21.4744359255 0 21.4744359255
.90 Energy initial, next-to-last, final = 3.31805947663 0 3.31805947663
1.00 Energy initial, next-to-last, final = 0 0 0
1.10 Energy initial, next-to-last, final = -0.491686224687 0 -0.491686224687
1.20 Energy initial, next-to-last, final = -0.445482643792 0 -0.445482643792
1.30 Energy initial, next-to-last, final = -0.32850845723 0 -0.32850845723
1.40 Energy initial, next-to-last, final = -0.230343461103 0 -0.230343461103
1.50 Energy initial, next-to-last, final = -0.160168297139 0 -0.160168297139
1.60 Energy initial, next-to-last, final = -0.112103862193 0 -0.112103862193
1.70 Energy initial, next-to-last, final = -0.0794256295812 0 -0.0794256295812
1.80 Energy initial, next-to-last, final = -0.0570735277933 0 -0.0570735277933
1.90 Energy initial, next-to-last, final = -0.0416080699618 0 -0.0416080699618
2.00 Energy initial, next-to-last, final = -0.03076171875 0 -0.03076171875
2.10 Energy initial, next-to-last, final = -0.0230473378743 0 -0.0230473378743
2.20 Energy initial, next-to-last, final = -0.0174842288602 0 -0.0174842288602
2.30 Energy initial, next-to-last, final = -0.0134189741153 0 -0.0134189741153
2.40 Energy initial, next-to-last, final = -0.0104107977797 0 -0.0104107977797
2.50 Energy initial, next-to-last, final = -0.008158445568 0 -0.008158445568
2.60 Energy initial, next-to-last, final = -0.00645329859555 0 -0.00645329859555
2.70 Energy initial, next-to-last, final = -0.00514902465682 0 -0.00514902465682
2.80 Energy initial, next-to-last, final = -0.00414170955773 0 -0.00414170955773
2.90 Energy initial, next-to-last, final = -0.00335669027518 0 -0.00335669027518
3.00 Energy initial, next-to-last, final = -0.00273972087212 0 -0.00273972087212
.10 Energy initial, next-to-last, final = 1.999998e+12 0 1.999998e+12
.20 Energy initial, next-to-last, final = 488250000 0 488250000
